ID	genomic_species ID	subspecies	plot_subspecies	country	location	AbbrevMap	lat	long	lon.utm	lat.utm	sex	year	tissue	coverage	samtools.coverage	nuDNA coverage	nuDNA coverage st.dev	total_sites	homozygous_sites	proportion_heterozygous
EB175	E. barbatus	Atlantic	E. b. barbatus	Greenland	Qeqertarsuaq	QE	69,24	-53,56	-1834187.9	-1354037,00	F	2021	Muscle	10x	3975617,00	39656,00	490757,00	278233401,00	277941098.7	0.0010516698
EB176	E. barbatus	Atlantic	E. b. barbatus	Greenland	Qeqertarsuaq	QE	69,24	-53,56	-1834187.9	-1354037,00	M	2021	Muscle	10x	3988604,00	397906,00	442665,00	275033302,00	274770048.6	0.0009580863892
EB177	E. barbatus	Atlantic	E. b. barbatus	Greenland	Qeqertarsuaq	QE	69,24	-53,56	-1834187.9	-1354037,00	M	2021	Muscle	10x	3845629,00	383757,00	471713,00	265557563,00	265285113.3	0.001027007203
EB178	E. barbatus	Atlantic	E. b. barbatus	Greenland	Qeqertarsuaq	QE	69,24	-53,56	-1834187.9	-1354037,00	M	2021	Muscle	10x	399349,00	399349,00	414922,00	286530645,00	286230653.5	0.001048076139
EB179	E. barbatus	Atlantic	E. b. barbatus	Greenland	Qeqertarsuaq	QE	69,24	-53,56	-1834187.9	-1354037,00	M	2021	Muscle	10x	3962799,00	395241,00	441477,00	269829091,00	269577132.6	0.0009346431934
EB180	E. barbatus	Atlantic	E. b. barbatus	Greenland	Qeqertarsuaq	QE	69,24	-53,56	-1834187.9	-1354037,00	F	2021	Muscle	30x	389159,00	389159,00	416484,00	272621139,00	272325170.8	0.001086819176
EB182	E. barbatus	Atlantic	E. b. barbatus	Greenland	Nanortalik	KF	60,14	-45,24	-2355272.3	-2335968.6	F	1986	Muscle	5x	400169,00	400169,00	388686,00	278739179,00	278498017.3	0.0008659370114
EB186	E. barbatus	Atlantic	E. b. barbatus	Greenland	Kap Farvel	KF	60,14	-45,24	-2355272.3	-2335968.6	M	2009	Muscle	5x	364764,00	364764,00	367401,00	227495660,00	227304309.7	0.0008418244944
EB188	E. barbatus	Atlantic	E. b. barbatus	Greenland	Melville Bay	MB	71,00	-59,76	-1344136.7	-783659,00	F	2011	Muscle	10x	415182,00	174556,00	10064,00	1043920174,00	1042856892,00	0.00101958569
EB189	E. barbatus	Atlantic	E. b. barbatus	Greenland	Melville Bay	MB	75,75	-59,76	-1344136.7	-783659,00	M	2011	Muscle	10x	3787929,00	377556,00	461763,00	233462094,00	233281335.1	0.0007748535299
EB190	E. barbatus	Atlantic	E. b. barbatus	Greenland	Itt. (Scoresby Sound)	IT	70,54	-25,16	-907272.9	-1931731.8	M	2021	dead body	10x	253601,00	253601,00	311447,00	88525152,00	88453966.04	0.000804779783
EB191	E. barbatus	Atlantic	E. b. barbatus	Greenland	Itt. (Scoresby Sound)	IT	70,54	-25,16	-907272.9	-1931731.8	F	2021	dead body	10x	483301,00	483301,00	412786,00	405911490,00	405575067.4	0.0008294951879
EB193	E. barbatus	Atlantic	E. b. barbatus	Greenland	Itt. (Scoresby Sound)	IT	70,54	-25,16	-907272.9	-1931731.8	M	2021	dead body	10x	303718,00	303718,00	316398,00	144518189,00	144399421,00	0.0008224963988
EB194	E. barbatus	Atlantic	E. b. barbatus	Greenland	Itt. (Scoresby Sound)	IT	70,54	-25,16	-907272.9	-1931731.8	M	2021	dead body	10x	29679,00	29679,00	31407,00	140728716,00	140611018.6	0.0008370422931
EB195	E. barbatus	Atlantic	E. b. barbatus	Greenland	Itt. (Scoresby Sound)	IT	70,54	-25,16	-907272.9	-1931731.8	M	2021	dead body	10x	354527,00	354527,00	356429,00	214025630,00	213850268.3	0.0008200211573
EB196	E. barbatus	Atlantic	E. b. barbatus	Greenland	Itt. (Scoresby Sound)	IT	70,54	-25,16	-907272.9	-1931731.8	F	2011	dead body	10x	368923,00	368923,00	34592,00	233984486,00	233793978.5	0.000814851993
